ax,	ay,	az,	ox,	oy,	oz,	dz,	dv,	t
-3.1281e-01,	-3.7908e-01,	1.0043e+01,	-6.8430e-03,	-6.4676e-03,	4.1193e-03,	0.0000e+00,	0,	1460043938021531079,	94823032
-3.1580e-01,	-3.7845e-01,	1.0049e+01,	-7.2658e-03,	-4.9618e-03,	3.2293e-03,	0.0000e+00,	0,	1460043938024011394,	97303347
-3.2090e-01,	-3.7354e-01,	1.0063e+01,	-6.1556e-03,	-4.5927e-03,	2.7465e-03,	0.0000e+00,	0,	1460043938026530376,	99822329
-3.1685e-01,	-3.6996e-01,	1.0068e+01,	-5.1207e-03,	-5.7830e-03,	1.9557e-03,	0.0000e+00,	0,	1460043938029030192,	102322145
-3.1073e-01,	-3.6904e-01,	1.0055e+01,	-4.7213e-03,	-6.6490e-03,	9.1558e-04,	0.0000e+00,	0,	1460043938031519466,	104811419
-3.1611e-01,	-3.7030e-01,	1.0046e+01,	-5.2373e-03,	-6.2948e-03,	1.0219e-03,	0.0000e+00,	0,	1460043938034032989,	107324942
-3.3237e-01,	-3.6671e-01,	1.0060e+01,	-6.0743e-03,	-5.4956e-03,	2.2334e-03,	0.0000e+00,	0,	1460043938036541930,	109833883
-3.4031e-01,	-3.6495e-01,	1.0071e+01,	-7.3058e-03,	-4.9552e-03,	3.4287e-03,	0.0000e+00,	0,	1460043938039019579,	112311532
-3.3046e-01,	-3.6587e-01,	1.0058e+01,	-8.1886e-03,	-4.8140e-03,	4.8219e-03,	0.0000e+00,	0,	1460043938041546227,	114838180
-3.1946e-01,	-3.6856e-01,	1.0041e+01,	-7.7781e-03,	-4.9994e-03,	4.8851e-03,	0.0000e+00,	0,	1460043938044048876,	117340829
-3.2029e-01,	-3.6957e-01,	1.0039e+01,	-5.7503e-03,	-5.3415e-03,	3.7864e-03,	0.0000e+00,	0,	1460043938046523942,	119815895
-3.2780e-01,	-3.5876e-01,	1.0052e+01,	-3.3182e-03,	-5.2035e-03,	3.6075e-03,	0.0000e+00,	0,	1460043938049042757,	122334710
-3.3691e-01,	-3.4698e-01,	1.0056e+01,	-3.3419e-03,	-4.7289e-03,	4.6001e-03,	0.0000e+00,	0,	1460043938051562906,	124854859
-3.3853e-01,	-3.4589e-01,	1.0051e+01,	-5.5908e-03,	-4.7196e-03,	5.2224e-03,	0.0000e+00,	0,	1460043938054028805,	127320758
-3.3122e-01,	-3.5685e-01,	1.0054e+01,	-7.3034e-03,	-5.4744e-03,	5.8579e-03,	0.0000e+00,	0,	1460043938056548162,	129840115
-3.2161e-01,	-3.7161e-01,	1.0055e+01,	-7.1274e-03,	-6.1364e-03,	5.7959e-03,	0.0000e+00,	0,	1460043938059052978,	132344931
-3.2203e-01,	-3.6861e-01,	1.0059e+01,	-6.0339e-03,	-5.8813e-03,	4.0324e-03,	1.3474e-01,	1,	1460043938061540835,	134832788
-3.3289e-01,	-3.5361e-01,	1.0061e+01,	-5.0635e-03,	-4.5268e-03,	2.1833e-03,	0.0000e+00,	0,	1460043938064053275,	137345228
-3.3332e-01,	-3.3827e-01,	1.0059e+01,	-4.7609e-03,	-3.5590e-03,	1.7067e-03,	0.0000e+00,	0,	1460043938066544508,	139836461
-3.2447e-01,	-3.2980e-01,	1.0061e+01,	-5.1871e-03,	-3.8138e-03,	1.9042e-03,	0.0000e+00,	0,	1460043938069039365,	142331318
-3.2233e-01,	-3.3546e-01,	1.0055e+01,	-6.1297e-03,	-5.1595e-03,	1.7518e-03,	1.3473e-01,	1,	1460043938071568430,	144860383
-3.2891e-01,	-3.5118e-01,	1.0044e+01,	-6.7913e-03,	-6.3652e-03,	2.2371e-03,	0.0000e+00,	0,	1460043938074038204,	147330157
-3.3125e-01,	-3.6386e-01,	1.0036e+01,	-5.9948e-03,	-6.8529e-03,	3.5774e-03,	0.0000e+00,	0,	1460043938076543311,	149835264
-3.2313e-01,	-3.6220e-01,	1.0034e+01,	-4.5538e-03,	-6.3011e-03,	4.8198e-03,	0.0000e+00,	0,	1460043938079059418,	152351371
-3.2286e-01,	-3.5397e-01,	1.0034e+01,	-4.3646e-03,	-5.0280e-03,	5.2679e-03,	0.0000e+00,	0,	1460043938081547484,	154839437
-3.3274e-01,	-3.5237e-01,	1.0038e+01,	-5.2956e-03,	-5.1327e-03,	4.6547e-03,	0.0000e+00,	0,	1460043938084049924,	157341877
-3.4356e-01,	-3.5972e-01,	1.0036e+01,	-6.2599e-03,	-6.3225e-03,	3.5010e-03,	0.0000e+00,	0,	1460043938086561365,	159853318
-3.5005e-01,	-3.6814e-01,	1.0033e+01,	-6.3714e-03,	-6.8017e-03,	1.9596e-03,	0.0000e+00,	0,	1460043938089053055,	162345008
-3.4420e-01,	-3.7655e-01,	1.0043e+01,	-5.3553e-03,	-5.6726e-03,	1.2952e-03,	0.0000e+00,	0,	1460043938091557621,	164849574
-3.3059e-01,	-3.7395e-01,	1.0048e+01,	-4.7054e-03,	-4.5797e-03,	1.8747e-03,	0.0000e+00,	0,	1460043938094069770,	167361723
